#{"t_start": 1763070829.3985534, "env_id": "None"}
r,l,t
132.169032,116,56.241871
129.070356,113,56.39695
127.040354,102,56.610135
-18.980933,54,56.699844
127.085826,104,56.858012
135.084929,102,57.001243
129.048556,108,57.218494
126.069436,107,57.381003
131.023033,104,57.53508
120.081635,94,57.666239
128.129533,96,57.899648
-18.954777,47,57.981122
101.0,1,57.982979
-18.98552,26,58.034806
-18.955656,42,58.090992
101.0,1,58.092627
-18.95205,45,58.162123
121.072077,98,58.29714
131.06886,95,58.429682
-18.967229,37,58.548123
-18.980929,31,58.596722
101.0,1,58.598324
124.078219,99,58.76048
125.061051,113,58.925996
130.073566,100,59.068435
-18.984579,44,59.137605
-18.90156,60,59.278883
128.087095,113,59.44282
-18.955509,36,59.500229
143.065341,131,59.680117
-18.937316,42,59.741003
119.113801,151,60.065682
-18.954742,24,60.104801
101.0,1,60.106444
132.065441,109,60.264784
133.084398,108,60.413586
127.097056,137,60.688538
131.099399,121,60.864761
-18.947528,30,60.913788
-18.967921,63,60.999337
129.068226,118,61.226397
-18.947688,34,61.283063
-18.993222,14,61.302279
-18.931986,49,61.383109
131.06437,125,61.557298
-18.966632,41,61.616136
101.0,1,61.61778
126.108401,99,61.759213
-18.966692,57,61.918422
-18.926272,33,61.969055
131.081791,121,62.183323
-18.967656,33,62.24531
-18.974945,33,62.289756
-18.954042,48,62.358597
-18.924629,50,62.432306
-18.971549,29,62.536524
-18.957743,52,62.608619
-18.967917,52,62.698241
-18.961389,37,62.763214
-18.963877,22,62.793193
-18.975124,90,62.912757
-18.944435,52,62.988972
-18.943327,42,63.048206
132.059836,115,63.269874
-18.945544,16,63.301611
-18.972678,20,63.336068
-18.951077,37,63.392566
-18.958754,38,63.449904
-18.915453,29,63.489124
131.081826,118,63.651823
-18.962431,48,63.719579
-18.945835,43,63.847001
-18.969932,48,63.918359
133.068824,132,64.142573
-18.967847,38,64.209101
129.033374,118,64.369326
-18.906813,36,64.431733
131.031579,115,64.662982
-18.963996,32,64.720396
-18.969562,59,64.802626
140.057942,112,64.955215
129.031952,96,65.088903
128.025983,124,65.349279
-18.979645,31,65.404768
8.068887,103,65.541106
130.077273,99,65.680458
130.03075,115,65.903332
131.053876,112,66.077564
-18.970181,16,66.104569
131.032933,110,66.262763
129.04129,120,66.53596
-18.966313,56,66.642516
134.064542,119,66.812637
-18.970976,46,66.882481
101.0,1,66.88431
-18.977781,54,66.964377
-18.925006,46,67.027805
126.068606,125,67.261269
136.077616,104,67.417771
-18.90781,53,67.497448
127.067624,118,67.658364
130.126532,114,67.888911
127.107532,100,68.049562
-18.92586,42,68.110577
-18.954432,41,68.173347
-18.966658,31,68.212693
-6.921725,93,68.34335
-18.97165,30,68.444489
-18.956966,43,68.51132
136.052225,118,68.718823
-18.934744,88,68.851201
129.049049,93,68.982724
-18.969699,48,69.050385
123.049771,134,69.313214
128.092717,84,69.432022
129.107458,103,69.573814
-18.955427,31,69.6197
149.075059,113,69.845469
123.076587,99,70.000783
128.085254,128,70.177791
-18.990524,33,70.232311
146.088889,112,70.443939
-18.936279,23,70.481634
136.088929,135,70.708285
130.081845,118,70.883881
-18.981057,37,70.943128
131.07833,98,71.144996
-18.96971,44,71.220197
-18.966006,22,71.254176
185.050444,120,71.428946
-18.971206,54,71.503754
125.055507,122,71.735643
-18.977921,63,71.831277
-18.991713,8,71.842442
131.028723,123,72.018202
-18.972965,56,72.101143
-18.922298,46,72.169643
129.05306,124,72.399543
133.047921,114,72.579839
-18.935884,45,72.654913
130.056227,127,72.861996
128.061469,109,73.08566
-18.99632,51,73.182544
129.023643,89,73.315254
-18.992962,32,73.36263
129.025979,112,73.516876
132.029522,146,73.793169
-18.993956,47,73.874655
130.0643,91,74.009201
-18.987706,41,74.07312
-18.99047,29,74.110074
117.008169,83,74.225081
127.033828,101,74.440415
-18.988014,23,74.484049
128.027814,95,74.654079
127.021592,80,74.790007
129.034848,110,74.95068
-18.983803,40,75.012175
131.037555,100,75.218666
131.054535,103,75.377053
-18.983989,33,75.430995
123.057946,123,75.593083
-18.989021,32,75.64571
141.021376,116,75.871058
128.016156,115,76.036961
-18.980094,45,76.105627
127.020074,122,76.271145
131.034113,97,76.47634
-18.963202,48,76.556273
130.061031,125,76.731719
-18.966419,32,76.810238
101.0,2,76.815801
129.042664,140,77.086398
135.012683,107,77.251098
-18.995687,43,77.320505
-18.987924,13,77.337097
-18.975413,37,77.394142
-18.934893,26,77.428128
101.0,1,77.429791
-18.971753,42,77.49726
-18.999035,63,77.578286
-18.0,20,77.609675
145.039455,104,77.817322
130.029065,110,77.981745
127.023752,100,78.125905
126.051938,102,78.269134
128.02272,116,78.505433
-18.964696,45,78.578381
119.070329,94,78.70493
123.057466,103,78.848689
132.027734,95,79.099912
125.035041,104,79.266474
129.048155,100,79.406622
-18.986133,24,79.449183
-18.977483,25,79.481271
-18.982798,42,79.545356
-18.9795,39,79.594987
-18.994021,17,79.617496
142.017256,123,79.867175
128.040531,107,80.016583
129.019818,114,80.172396
129.009499,111,80.396607
131.011593,123,80.583576
126.022798,90,80.711612
-19.0,41,80.77658
131.00193,107,80.981536
128.041557,94,81.161253
-18.999975,25,81.209474
101.0,1,81.211359
128.007698,107,81.369385
125.027668,103,81.516614
-18.980758,48,81.58953
157.013497,99,81.80273
-18.996282,28,81.847123
121.006909,100,81.985742
131.010127,84,82.110733
-18.992038,49,82.179867
130.013173,111,82.399218
127.013525,110,82.572182
-18.975937,48,82.646292
147.015789,91,82.767932
124.035665,81,82.882678
133.012984,102,83.124341
127.031522,102,83.289391
128.00274,91,83.419779
-18.991943,41,83.478794
101.0,1,83.480386
128.006087,103,83.68689
120.025894,93,83.840516
130.005979,108,83.989098
-18.978495,26,84.030865
121.010341,118,84.200008
131.004305,116,84.441923
-18.989578,46,84.518325
154.008831,109,84.665104
122.015662,103,84.814233
-18.989585,42,84.874312
32.008455,94,85.06915
129.000274,120,85.281728
130.0,119,85.45296
129.000007,118,85.682525
128.017909,131,85.890531
128.005954,143,86.088831
-18.988747,45,86.158119
139.00798,130,86.422812
-19.0,23,86.46695
128.018942,108,86.616878
-19.0,53,86.695647
-18.999686,57,86.774299
-18.990606,60,86.861354
132.011461,120,87.106457
-19.0,49,87.189533
101.0,1,87.191119
-19.0,46,87.262455
-18.992689,23,87.292424
101.0,1,87.294064
-18.992187,49,87.368931
101.0,1,87.370515
-19.0,40,87.456273
-19.0,26,87.506341
138.004094,115,87.732639
130.0,116,87.902258
-19.0,43,87.968884
129.002928,124,88.131815
-18.998931,64,88.289354
-19.0,82,88.414853
-18.992391,45,88.492108
132.008956,102,88.630919
-18.972676,31,88.679344
-18.984384,52,88.753004
120.004671,149,89.019219
-18.994872,50,89.102408
-18.993307,19,89.126487
139.004387,135,89.313319
132.002342,109,89.471591
-18.997845,43,89.654879
101.0,1,89.656602
131.00519,130,89.866183
134.007825,119,90.034352
-18.992043,36,90.08676
152.008304,134,90.326339
131.008247,125,90.530921
129.020317,127,90.71312
-18.983896,64,90.807376
-18.987975,36,90.858951
-18.996368,57,91.005479
-18.970085,36,91.05331
130.028806,127,91.238544
-18.995781,56,91.321942
-18.997332,36,91.373107
130.009367,126,91.607932
131.028416,112,91.802303
-18.986811,44,91.877434
131.021256,125,92.041375
130.006467,121,92.268595
135.026172,123,92.45664
-18.99322,72,92.559479
-18.998681,50,92.635649
-18.999349,79,92.750445
132.016583,118,92.987376
-18.980914,49,93.067277
-19.0,47,93.133042
131.009301,123,93.302328
-19.0,61,93.392142
-18.99722,49,93.522233
126.020644,118,93.689597
130.017619,103,93.844172
134.014902,110,93.995581
131.005374,120,94.272313
130.016624,104,94.42529
129.025921,88,94.54861
131.025178,106,94.699226
130.004637,138,94.967944
129.012456,106,95.133733
-18.997901,42,95.194378
138.015177,109,95.344787
128.017661,110,95.556914
129.002774,151,95.784976
-18.991576,48,95.853024
-18.992918,20,95.879013
136.026289,97,96.013343
128.019816,139,96.31529
-18.999577,46,96.384641
-18.976029,57,96.471256
-19.0,52,96.548865
131.019766,135,96.791841
131.022123,113,96.958552
-18.994903,47,97.032605
146.003356,134,97.216956
-18.992687,47,97.283967
-19.0,57,97.43273
-19.0,56,97.523568
130.010897,127,97.709364
130.000095,115,97.872837
131.012139,114,98.094992
136.015463,120,98.289427
131.000687,112,98.486319
130.018645,116,98.656713
130.00269,112,98.881366
127.014255,119,99.053327
-19.0,45,99.117381
101.0,1,99.119174
130.008953,117,99.284405
-18.999049,35,99.338134
-18.992797,18,99.430591
-19.0,43,99.508425
128.008592,150,99.727169
130.009627,114,99.884711
-18.998436,56,99.969963
133.019365,118,100.211009
132.004035,112,100.378236
131.022959,136,100.605421
132.005557,134,100.856136
-18.98643,51,100.940262
-19.0,68,101.038045
130.000695,119,101.200953
-19.0,62,101.292011
133.001799,133,101.566665
128.001421,109,101.722443
-18.991399,44,101.79124
129.015999,115,101.948053
-18.997867,34,102.058229
131.013018,109,102.23167
129.009339,102,102.374695
131.006234,121,102.548563
131.003835,122,102.822358
129.003562,118,102.997559
-18.985021,18,103.027452
-18.992149,30,103.078036
131.004714,142,103.265846
-18.995342,45,103.396711
