#{"t_start": 1764555172.557966, "env_id": "None"}
r,l,t
-3.872008,450,6031.021227
28.755986,450,6054.761159
26.680026,450,6078.412226
-21.340018,450,6101.907721
44.727986,450,6125.403848
199.850693,61,6128.675009
40.095992,450,6152.359561
222.562683,142,6159.9261
185.978815,272,6174.488216
196.351573,66,6178.021697
-112.624478,165,6186.812771
109.487631,79,-12.215992,450,6204.121946
40.362755,97,6209.345801
-26.968022,450,6233.041492
159.387095,95,6238.098281
129.844064,450,6261.680166
-15.628004,450,6285.445673
172.036028,450,6309.08896
79.040057,450,6332.586364
155.563951,450,6356.204367
257.590235,396,6377.038155
18.488023,100,6382.203633
-0.088004,450,6405.85797
161.259541,75,6409.871831
156.971992,343,6427.908998
-11.243995,450,6451.188871
165.894215,90,6456.033824
244.758996,213,6467.248677
6.67995,450,6491.336746
-24.184017,450,6515.287455
99.676942,420,6537.334756
107.953882,218,6549.015814
-1.184024,450,6572.941954
-10.615991,450,6596.863812
-13.028003,450,6620.70999
80.116021,450,6644.647415
153.945771,47,6647.157856
-44.680031,450,6671.202328
-33.579116,114,6677.368377
276.123112,147,6685.261285
181.073796,92,6690.079549
154.629326,369.952464,293,6702.620727
38.851985,450,6726.57272
-25.115995,450,6750.792449
206.48846,341,6769.214386
-26.612017,450,6793.40333
191.968013,199,6803.982632
-13.628007,450,6828.22618
-6.37287,86,6832.877554
98.168014,450,6856.967036
-4.191041,105,6862.648348
154.056882,42,6864.940462
-8.624026,450,6889.045649
140.167994,37,6891.063621
208.545792,101,6896.406083
-1.988,450,6920.065546
47.159988,450,6943.966544
58.432023,450,6968.126964
124.89022,81,6972.501776
114.775052,180,6981.951242
-38.460365,156,6990.540251
140.212438,35,6992.410249
-11.671999,450,7016.908816
-46.096023,450,7041.323912
-51.886678,328,7058.608033
248.918238,189,7068.795652
330.685423,319,7086.319189
-13.912012,450,7110.949697
237.123569,84,7116.527152
302.032175,217,7129.07169
219.468943,69,7133.378911
303.459112,136,7141.26368
329.00499,177,7150.894376
40.896006,450,7174.793198
9.956063,450,7198.816427
-13.771997,450,7222.876285
125.224062,450,7247.150943
201.540453,431,7270.012231
-38.316434,309,7286.352787
141.929323,418,7308.875055
-10.572,450,7333.009596
-124.64092,383,7353.283564
14.455997,450,7377.258805
223.079125,86,7381.85506
26.759978,450,7405.965781
140.995993,37,7407.996174
5.855136,194,7418.347892
223.279125,77,7422.31607
-36.145248,223,7434.394594
53.843981,450,7458.656909
23.103972,450,7482.403126
209.034681,88,7487.187421
65.840012,450,7511.053375
41.028033,450,7534.843707
310.469435,265,7548.879082
17.640916,393,7569.823511
165.807114,158,7578.246428
162.03732,40,7580.392559
-8.232004,450,7604.365196
45.931976,450,7628.369214
-43.196027,450,7652.660642
-54.426656,274,7667.08438
136.511999,450,7690.874
195.61246,62,7694.001086
53.556008,450,7718.003657
110.245333,49,7720.605164
193.973794,164,7729.464067
253.268802,174,7738.7851
210.262684,70,7742.626605
345.989288,182,7752.322076
-38.336004,450,7776.387825
224.151573,75,7780.513435
105.588003,450,7804.352298
-66.929806,63,7807.711891
50.975978,450,7831.618037
140.973771,38,7833.632865
167.027548,39,7835.608845
200.664649,136,7842.992378
74.172015,450,7867.112533
-11.9,450,7890.955528
242.937395,121,7897.447559
45.959977,450,7921.408108
2.124073,450,7945.302779
131.684536,341,7963.480455
-54.852034,450,7987.640942
68.743995,450,8011.962138
195.501348,67,8015.525449
264.679124,104,8021.006538
-12.743994,450,8045.420329
201.741206,83,8049.900832
94.472034,450,8073.838738
-12.859996,450,8097.995092
161.881764,47,8100.558728
210.240462,71,8104.374399
2.775967,450,8128.871097
259.03901,121,8135.323193
304.280548,107,8141.169534
-11.443994,450,8165.652981
6.339997,450,8189.829025
118.945775,317,8206.592882
150.234217,45,8208.985929
162.015098,41,8211.231457
-92.552479,66,8214.798924
82.352019,450,8239.043648
-89.376889,32,8240.819559
41.141349,157,8249.117388
-16.2,450,8272.883151
