#{"t_start": 1763489288.3692653, "env_id": "None"}
r,l,t
99.763185,21,854.737201
132.340266,90,856.678179
17.721586,240,861.845434
110.446505,18,862.208797
76.312468,95,864.160803
-29.262594,240,869.211266
109.558046,32,869.876211
106.064336,24,870.375511
112.181821,35,871.18964
91.39988,18,871.589417
-145.961213.92585,240,872.94.717892.25359,240,877.773121
97.559668,23,878.249451
-13.536007,240,883.470272
-46.198208,240,888.563158
-8.985687,240,893.794487
130.349536,208,898.319265
-142.728967,8,898.48049
139.296881,67,899.883938
122.22157,16,900.210863
6.202515,240,905.22994
110.570444,54,906.315377
165.529756,65,907.680712
100.042041,42,908.559415
104.171031,19,908.-9.20718147.398603,53,910.102.6927150.860972,123,912.700182
6.573284,240,917.874744
132.49572,24,918.366128
92.639583,17,918.720979
114.507141,26,919.331921
108.179311,61,920.5-12.28123,240,923.47709
115.104575,14,923.7891
-0.561414,240,928.97753
84.459543,122,931.504389
125.223089,26,932.089327
118.971511,21,932.523376
106.701323,24,933.007604
-6.469531,240,938.170756
115.246491,14,938.488844
12.822172,240,943.756475
1.437252,240,949.052221
34.807792,240,954.285298
125.931046,18,954.654763
138.388832,29,955.265543
127.338164,31,955.973954
112.329616,35,956.710552
106.141264,21,957.198442
-0.432745,240,962.275806
122.817326,29,962.945619
129.349604,21,963.380024
105.774794,27,963.937325
139.077343,30,964.625222
15.037743,240,969.794894
109.565426,30,970.437166
116.889797,132,973.168283
104.114427,36,973.991243
149.919539,98,976.038764
-46.329867,240,981.298155
-8.292191,240,986.284146
119.212708,15,986.589258
74.257376,109,988.8934
123.350985,37,989.703028
76.789699,17,990.062261
120.825215,27,990.596204
1.948588,240,995.684216
135.335049,27,996.244313
128.76579,151,999.510166
125.99761-133.18623,236,1003.118356
108.544801,32,1003.826766
-42.269033,240,1008.964465
142.544098,32,1009.639431
137.903004,34,1010.320725
87.947128,62,1011.629998
-47.452039,240,1016.769153
126.727449,32,1017.409823
104.180749,18,1017.813085
-270.492464,240,1022.933403
168.98604,129,1025.710326
96.275096,19,1026.094851
154.598835,45,1027.045588
132.18275,25,1027.546399
134.244328,179,1031.398664
116.940501,210,1035.868877
154.980226,44,1036.789782
110.407092,15,1037.091121
116.052892,-12.121276,240,1039.633556
132.39805,38,131.430799,1799.393217,87,10108.626309,128.633778,30,10136.97476,4146.269692,87,1044.845407
165.395139,69,1119.862866,227,1048.592073
139.129447,31,1049.247679
-689.647837,240,1054.346588
176.761002,98,1056.380013
163.115247,76,1057.970904
143.336606,46,1058.998686
86.683625,25,1059.519646
118.622718,40,1060.311126
102.495313,57,1061.557544
85.852343,-60.817058,240,1064.781416
155.916882,81,1-1.102466,24170.613512,79,1115.216121,3-18.772921,240,1073.374305
-29.66791,240,1078.482978
119.297828,21,1078.938921
128.016926,205,1083.376048
-21.726019,240,1088.491156
135.516111,34,1089.256303
132.390825,23,1089.725673
123.268115,30,1090.427753
113.182119,34,1091.164294
-26.171919,240,1096.36322
136.020165,27,1096.93458
-14.785205,240,1102.076916
138.852102,177,1105.9089
-7.166971,240,1110.934805
107.795397,24,1111.441957
132.283939,26,1112.031214
103.997958,18,1112.443191
91.069562,78,1114.132753
142.696635,64,1115.445659
-3.157904,240,1120.587019
113.280642,20,1121.030438
-15.795107,240,1126.145493
-0.454661,240,1131.280155
129.265212,31,1131.900643
99.197452,20,1132.382467
122.033672,16,1132.704137
103.709273,99,1134.779165
2.512331,240,1139.885816
-11.105659,240,1144.889096
-23.445024,240,1150.045356
144.600393,44,1150.989554
144.381127,65,1152.372245
158.522059,47,1153.313301
-2.572944,240,1158.309929
142.370234,33,1158.976626
102.826853,27,1159.530224
118.772838,15,1159.909826
-19.374832,240,1164.902948
125.352606,18,1165.33665
105.814112,34,1166.041855
-12.979122,240,1171.128427
-25.699386,240,1176.304146
143.23401,46,1177.239877
10.595451,240,1182.488556
128.638058,20,1182.891463
152.134733,41,1183.818845
132.664399,24,1184.304345
13.586417,240,1189.576672
-27.023452,240,1194.791355
124.2621,23,1195.277919
-13.682294,240,1200.449906
125.303397,27,1201.001329
11.183291,240,1206.060853
116.42266,24,1206.628593
156.350297,59,1207.810997
125.81985,18,1208.177
84.571662,20,1208.665791
102.313752,64,1209.990018
1.846082,240,1215.135399
145.926144,111,1217.621111
127.023997,31,1218.281135
128.523473,34,1218.983451
132.213888,79,1220.663769
112.684541,39,1221.571418
154.913757,45,1222.490484
75.151818,173,1226.269095
86.313865,22,1226.766256
142.096896,32,1227.404194
152.613776,192,1231.479079
146.633975,52,1232.578905
138.719723,56,1233.795141
-4.956942,240,1238.742326
-30.819862,240,1243.984991
119.647729,50,1245.033552
-16.918177,240,1250.143383
126.020297,18,1250.509266
131.922987,23,1250.976489
147.982342,39,1251.828706
2.310547,240,1256.91572
6.514377,240,1262.023128
135.90041,40,1262.890289
114.101032,29,1263.476194
86.374385,17,1263.8140251169.413102,73,1265.374678
145.703456,64,1266.744923
148.846181,106,1268.945918
126.058085,26,1269.470762
122.595693,181,1273.335992
-18.235776,240,1278.592616
-185.046018,240,1283.697475
-67.135835,240,1288.831533
118.810694,216,1293.385388
145.479042,36,1294.196947
109.303806,31,1294.818855
-30.241798,240,1300.076095
131.825118,40,1300.945657
-79.538068,240,1306.26906
140.775146,45,1307.249861
125.370902,18,1307.628565
-13.753347,240,1312.856324
133.945788,182,1316.795206
-5.005507,240,1321.858641
145.262656,35,1322.624213
137.493716,43,1323.625124
125.321757,18,1323.988126
131.243832,186,1327.88132
170.72914,71,1329.3759
2.260717,240,1334.441896
126.075742,32,1335.153717
127.741406,42,1336.089855
-15.043616,240,1341.080644
126.067509,18,1341.531984
109.858976,19,1341.907921
-15.215424,240,1346.99157
132.373043,24,1347.523493
138.593171,29,13-16.00961,2139.606124,37,13-5.944291,240,1353.364083
142.656149,41,1354.280336
109.292586,18,1354.653059
104.343104,15,1354.962365
133.647501,40,1355.847106
83.142803,131,1358.603452
102.967391,26,1359.125235
118.925144.842727,240,1361.373545
142.103727,32,1362.061663
114.121722,21,1362.144.1817128.908042,33,1363.2-9.41922,240,1367.741131
125.8505-18.560197,240,13698.750328,29.39847,240,1374121.35814126.069041,33,1374.924123
12.299622,240,1380.134566
138.816154,29,1380.73176
-7.720767,240,1385.869503
132.493126,24,1386.411991
158.037193,95,1388.430025
125.988517,19,1388.823467
109.91824,14,1389.11187
110.896493,31,1389.782065
134.181519,36,1390.542844
81.252356,72,1392.1-12.373122,240,1395.385308
148.80-16.867249,240,1397.664712
-18.754065,240,1402.676223
129.043203,28,1403.274444
-16.685897,240,1408.345208
125.36566,18,1408.720728
139.98801,45,1409.661326
105.080001,15,1410.037788
91.59106,116,1412.4-11.344291,240,1414.48764
89.490293,20,1414.896413
109.925979,15,1415.200779
91.7506136.875169,40,1415127.40164-1.312735,240,1421.12709
0.497182,240,1426.218774
79.520416,81,1427.992308
114.00276,39,1428.848857
63.708292,45,1429.998234
137.264383,39,1430.828613
145.810285,44,1431.797066
130.824804,38,1432.594389
122.211483,16,1432.930646
155.953789,62,1434.280103
21.701117,240,1439.419773
116.998305,195,1443.539741
97.274163,25,1444.03483
133.977547,37,1444.879933
123.578435,40,1445.702835
111.065871,52,1446.816146
125.830059,27,1447.372784
118.553617,79,1449.040533
120.876975,67,1450.486594
61.904454,36,1451.239397
-16.125442,240,1456.394358
108.476728,17,1456.740824
2.763722,240,1461.831758
112.865283,27,1462.506393
-10.047575,240,1467.569096
114.071983,16,1467.942205
152.031625,103,1470.063784
146.92961,86,1471.907542
128.558491,20,1472.305376
89.343504,36,1473.026956
79.046113,89,1475.023431
-6.212985,240,1480.164154
93.436494,19,1480.640694
132.249461,24,1481.142785
-22.914045,240,1486.350094
158.514567,72,1487.899519
-11.112596,240,1493.143222
138.793394,30,1493.756959
126.038087,18,1494.149765
157.252159,75,1495.727653
128.134433,31,1496.350445
96.105189,34,1497.144453
2.203544,240,1502.204746
6.180389,240,1507.311118
126.786131,50,1508.408616
100.894628,35,1509.133407
94.285009,19,1509.608233
144.667541,38,1510.363544
123.039891,39,1511.223135
81.901153,30,1511.854576
-6.495015,240,1516.921396
-10.28172,240,1522.083354
80.843185,21,1522.506592
118.277818,30,1523.102334
-21.700795,240,1528.212101
109.137577,18,1528.586865
137.041662,33,1529.253432
5.074401,240,1534.405917
110.918555,58,1535.638465
-12.223544,240,1540.768291
-27.223691,240,1545.974487
119.121169,27,1546.549067
125.984367,25,1547.070297
125.821283,19,1547.458088
115.605915,32,1548.173291
122.305496,29,1548.758193
-28.416069,240,1554.098124
-425.077111,74,1555.7175
100.648593,79,1557.379496
164.601518,64,1558.807713
86.090146,31,1559.420538
-22.098464,240,1564.628854
129.245092,31,1565.25161
73.941086,45,1566.226244
131.771586,24,1566.734996
147.270595,48,1567.802252
-1.200492,240,1572.857748
131.560828,48,1573.869565
-3.88054,240,1578.975405
123.099124,40,1579.78648
129.606199,34,1580.525297
93.074573,87,1582.43502
117.220778,25,1582.945248
123.613667,31,1583.547754
20.288138,61,1584.823009
105.7364,29,1585.39823
122.08658,16,1585.713324
97.4461,17,1586.108778
8.618558,240,1591.211265
105.573682,86,1593.034265
104.135992,40,1593.932059
122.297288,16,1594.26838
3.747391,240,1599.4886
91.845979,106,1601.730953
141.448083,33,1602.51545
1.10861,240,1607.689289
27.14918,240,1612.847185
145.562801,36,1613.615011
140.698013,45,1614.602718
158.62407,63,1615.938524
128.530851,22,1616.452351
49.416534,69,1617.905164
96.36224,30,1618.519755
119.779536,27,1619.071114
122.183705,42,1620.014011
118.618558,16,1620.349831
187.503487,86,1622.188257
126.446136,90,1624.114276
-35.489039,240,1629.327461
123.232753,30,1629.941662
121.886702,33,1630.704076
115.763102,27,1631.26185
117.21508,17,1631.619429
-21.077282,240,1636.707977
-11.910606,240,1641.786094
164.825644,106,1644.001341
141.398147,63,1645.3391
130.399683,40,1646.138046
135.986154,34,1646.892786
-3.45427,240,1652.008552
5.324297,240,1657.020319
99.087239,214,1661.563053
16.276568,240,1666.764742
149.88665,48,1667.778578
1.827092,240,1673.097653
125.280322,18,1673.545279
109.258567,18,1673.935205
180.389549,83,1675.69998
97.352276,30,1676.334853
45.668164,240,1681.511182
16.709594,240,1686.550396
124.156162,23,1687.020217
0.897627,240,1692.142359
-13.068871,240,1697.2869
29.459672,240,1702.355498
15.002,240,1707.753385
151.347453,41,1708.6078
7.635877,240,1713.766901
-10.859593,240,1718.863234
92.101435,18,1719.2328
164.822564,61,1720.533181
127.776339,59,1721.865794
128.591099,21,1722.336172
155.548449,108,1724.676195
-15.439201,240,1729.735713
123.58917,154,1732.983399
138.900674,35,1733.678548
92.957639,31,1734.322865
144.977691,59,1735.61288
108.835617,30,1736.215854
139.387425,37,1737.054603
-17.011939,240,1742.25438
-28.284515,240,1747.494355
-5.410728,240,1752.5971
148.770517,46,1753.680045
-25.026448,240,1758.862102
-107.40835,240,1763.920277
121.404096,25,1764.449598
119.844333,45,1765.44177
132.07633,38,1766.232205
-8.523691,240,1771.310136
130.225,41,1772.177307
123.09869,23,1772.733136
117.420596,24,1773.220447
126.001198,57,1774.436442
137.180349,63,1775.834505
118.560821,20,1776.312514
105.676258,26,1776.832301
126.182709,32,1777.484623
154.680552,44,1778.456459
127.564166,31,1779.076284
-149.809461,40,1779.978498
116.441321,24,1780.49735
138.769116,30,1781.144566
117.482313,26,1781.772325
137.151099,41,1782.63965
113.409729,20,1783.143011
130.270674,30,1783.771582
132.76245,39,1784.571332
3.152518,240,1789.828171
119.479404,28,1790.447088
117.913762,24,1790.952036
115.270867,124,1793.566156
-23.237782,240,1798.958349
